date,pe,,,,,
2015-09-01,21.1784,,,,,
2015-10-01,24.0305,,,,,
2015-11-01,24.0426,,,,,
2015-12-01,23.6212,,,,,
2016-01-01,22.4461,,,,,
2016-02-01,22.3534,,,,,
2016-03-01,23.8286,,,,,
2016-04-01,23.7609,,,,,
2016-05-01,24.1252,,,,,
2016-06-01,24.147,,,,,
2016-07-01,24.3978,,,,,
2016-08-01,24.3681,,,,,
2016-09-01,24.338,,,,,
2016-10-01,22.487,,,,,
2016-11-01,23.2555,,,,,
2016-12-01,23.6788,,,,,
2017-01-01,22.7228,,,,,
2017-02-01,23.5681,,,,,
2017-03-01,23.5589,,,,,
2017-04-01,22.9206,,,,,
2017-05-01,23.1859,,,,,
2017-06-01,23.2975,,,,,
2017-07-01,23.0697,,,,,
2017-08-01,23.0823,,,,,
2017-09-01,23.5278,,,,,
2017-10-01,23.437,,,,,
2017-11-01,24.0952,,,,,
2017-12-01,24.3321,,,,,
2018-01-01,24.4613,,,,,
2018-02-01,23.5086,,,,,
2018-03-01,22.8766,,,,,
2018-04-01,21.6203,,,,,
2018-05-01,22.0874,,,,,
2018-06-01,22.1944,,,,,
